REG_FA_CCK 0x0a5c
REG_DIS_DPD 0x0a70
REG_CCA 0x0a70
REG_ANTSEL 0x0a74
REG_CCKTX 0x0a84
REG_CNTRST 0x0b58
REG_3WIRE_SWA 0x0c00
REG_RX_IQC_AB_A 0x0c10
REG_RX_IQC_CD_A 0x0c14
REG_TXSCALE_A 0x0c1c
REG_TX_AGC_A_CCK_11_CCK_1 0xc20
REG_TX_AGC_A_OFDM18_OFDM6 0xc24
REG_TX_AGC_A_OFDM54_OFDM24 0xc28
REG_TX_AGC_A_MCS3_MCS0 0xc2c
REG_TX_AGC_A_MCS7_MCS4 0xc30
REG_TX_AGC_A_MCS11_MCS8 0xc34
REG_TX_AGC_A_MCS15_MCS12 0xc38
REG_TX_AGC_A_NSS1_INDEX3_NSS1_INDEX0 0xc3c
REG_TX_AGC_A_NSS1_INDEX7_NSS1_INDEX4 0xc40
REG_TX_AGC_A_NSS2_INDEX1_NSS1_INDEX8 0xc44
REG_TX_AGC_A_NSS2_INDEX5_NSS2_INDEX2 0xc48
REG_TX_AGC_A_NSS2_INDEX9_NSS2_INDEX6 0xc4c
REG_RXIGI_A 0x0c50
REG_TX_PWR_TRAINING_A 0x0c54
REG_CK_MONHA 0x0c5c
REG_AFE_PWR1_A 0x0c60
REG_AFE_PWR2_A 0x0c64
REG_RX_WAIT_CCA_TX_CCK_RFON_A 0x0c68
REG_OFDM0_XA_TX_IQ_IMBALANCE 0x0c80
REG_OFDM0_A_TX_AFE 0x0c84
REG_OFDM0_XB_TX_IQ_IMBALANCE 0x0c88
REG_TSSI_TRK_SW 0x0c8c
REG_LSSI_WRITE_A 0x0c90
REG_PREDISTA 0x0c90
REG_TXAGCIDX 0x0c94
REG_TX_AGC_A 0x0c94
REG_RFE_PINMUX_A 0x0cb0
REG_RFE_INV_A 0x0cb4
REG_RFE_CTRL8 0x0cb4
REG_RFECTL_A 0x0cb8
REG_RFE_INV0 0x0cbc
REG_RFE_INV8 0x0cbd
REG_RFE_INV16 0x0cbe
REG_IQK_DPD_CFG 0x0cc4
REG_CFG_PMPD 0x0cc8
REG_IQC_Y 0x0ccc
REG_IQC_X 0x0cd4
REG_INTPO_SETA 0x0ce8
REG_IQKA_END 0x0d00
REG_PI_READ_A 0x0d04
REG_SI_READ_A 0x0d08
REG_IQKB_END 0x0d40
REG_PI_READ_B 0x0d44
REG_SI_READ_B 0x0d48
REG_3WIRE_SWB 0x0e00
REG_RX_IQC_AB_B 0x0e10
REG_RX_IQC_CD_B 0x0e14
REG_TXSCALE_B 0x0e1c
REG_TX_AGC_B_CCK_11_CCK_1 0xe20
REG_TX_AGC_B_OFDM18_OFDM6 0xe24
REG_TX_AGC_B_OFDM54_OFDM24 0xe28
REG_TX_AGC_B_MCS3_MCS0 0xe2c
REG_TX_AGC_B_MCS7_MCS4 0xe30
REG_TX_AGC_B_MCS11_MCS8 0xe34
REG_TX_AGC_B_MCS15_MCS12 0xe38
REG_TX_AGC_B_NSS1_INDEX3_NSS1_INDEX0 0xe3c
REG_TX_AGC_B_NSS1_INDEX7_NSS1_INDEX4 0xe40
REG_TX_AGC_B_NSS2_INDEX1_NSS1_INDEX8 0xe44
REG_TX_AGC_B_NSS2_INDEX5_NSS2_INDEX2 0xe48
REG_TX_AGC_B_NSS2_INDEX9_NSS2_INDEX6 0xe4c
REG_RXIGI_B 0x0e50
REG_TX_PWR_TRAINING_B 0x0e54
REG_CK_MONHB 0x0e5c
REG_AFE_PWR1_B 0x0e60
REG_AFE_PWR2_B 0x0e64
REG_RX_WAIT_CCA_TX_CCK_RFON_B 0x0e68
REG_TXTONEB 0x0e80
REG_RXTONEB 0x0e84
REG_TXPITMB 0x0e88
REG_RXPITMB 0x0e8c
REG_LSSI_WRITE_B 0x0e90
REG_PREDISTB 0x0e90
REG_INIDLYB 0x0e94
REG_TX_AGC_B 0x0e94
REG_RFE_PINMUX_B 0x0eb0
REG_RFE_INV_B 0x0eb4
REG_RFECTL_B 0x0eb8
REG_BPBDB 0x0ec4
REG_PHYTXONB 0x0ec8
REG_IQKYB 0x0ecc
REG_IQKXB 0x0ed4
REG_INTPO_SETB 0x0ee8
REG_CRC_CCK 0x0f04
REG_CCA_OFDM 0x0f08
REG_CRC_VHT 0x0f0c
REG_CRC_HT 0x0f10
REG_CRC_OFDM 0x0f14
REG_FA_OFDM 0x0f48
REG_DBGRPT 0x0fa0
REG_CCA_CCK 0x0fcc
REG_SYS_CFG3_8814A 0x1000
REG_ANAPARSW_MAC_0 0x1010
REG_ANAPAR_XTAL_0 0x1040
REG_CPU_DMEM_CON 0x1080
REG_SW_MDIO 0x10C0
REG_H2C_PKT_READADDR 0x10D0
REG_H2C_PKT_WRITEADDR 0x10D4
REG_FW_DBG6 0x10F8
REG_FW_DBG7 0x10FC
REG_CR_EXT 0x1100
REG_FT1IMR 0x1138
REG_FT1ISR 0x113c
REG_DDMA_CH0SA 0x1200
REG_DDMA_CH0DA 0x1204
REG_DDMA_CH0CTRL 0x1208
REG_H2CQ_CSR 0x1330
REG_FAST_EDCA_VOVI_SETTING 0x1448
REG_FAST_EDCA_BEBK_SETTING 0x144C
REG_RXPSF_CTRL 0x1610
REG_RXPSF_TYPE_CTRL 0x1614
REG_GENERAL_OPTION 0x1664
REG_WL2LTECOEX_INDIRECT_ACCESS_CTRL_V1 0x1700
REG_WL2LTECOEX_INDIRECT_ACCESS_WRITE_DATA_V1 0x1704
